POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,buffer 3a_OPERACION,buffer 3a_TIPO,buffer 3a_LATITUD,buffer 3a_LONGITUD,buffer 3a_M2TOTAL,buffer 3a_PRECIOUSD,buffer 3a_BARRIO,buffer 3a_COMUNA,Matrix_distancia_f_TargetID,Matrix_distancia_f_Distance,Matrix_distancia_f_buffer 3a_OPERACION,Matrix_distancia_f_buffer 3a_TIPO,Matrix_distancia_f_buffer 3a_LATITUD,Matrix_distancia_f_buffer 3a_LONGITUD,Matrix_distancia_f_buffer 3a_M2TOTAL,Matrix_distancia_f_buffer 3a_PRECIOUSD,Matrix_distancia_f_buffer 3a_BARRIO,Matrix_distancia_f_buffer 3a_COMUNA,Matrix_ distancia_S_TargetID,Matrix_ distancia_S_Distance,count_NUMPOINTS,Matriz_distancia_O_TargetID,Matriz_distancia_O_Distance
813,VTA,TERRENO,-34.5601995,-58.4712942,280,570000,COGHLAN,12,VTA,TERRENO,-34.5601995,-58.4712942,280,570000,COGHLAN,12,-58.4753485,673.544889373073,VTA,TERRENO,-34.5601995,-58.4712942,280,570000,COGHLAN,12,-58.4623784082243,961.86306589205,360,Obelisco,9541.81041161434
814,VTA,TERRENO,-34.5612618,-58.4712711,1000,830000,COGHLAN,12,VTA,TERRENO,-34.5612618,-58.4712711,1000,830000,COGHLAN,12,-58.4753485,580.347272437518,VTA,TERRENO,-34.5612618,-58.4712711,1000,830000,COGHLAN,12,-58.4623784082243,1027.01407450453,395,Obelisco,9480.84243353506
815,VTA,TERRENO,-34.5609967,-58.4712571,111,400000,COGHLAN,12,VTA,TERRENO,-34.5609967,-58.4712571,111,400000,COGHLAN,12,-58.4753485,603.922892372511,VTA,TERRENO,-34.5609967,-58.4712571,111,400000,COGHLAN,12,-58.4623784082243,1008.39500653754,385,Obelisco,9494.38550955152
816,VTA,TERRENO,-34.5625017,-58.471208,244,650000,COGHLAN,12,VTA,TERRENO,-34.5625017,-58.471208,244,650000,COGHLAN,12,-58.4753485,487.907959009693,VTA,TERRENO,-34.5625017,-58.471208,244,650000,COGHLAN,12,-58.4623784082243,1111.64362304819,400,Obelisco,9408.15127234493
817,VTA,TERRENO,-34.6044893,-58.4711155,0,300000,VILLA GRAL. MITRE,11,VTA,TERRENO,-34.6044893,-58.4711155,0,300000,VILLA GRAL. MITRE,11,-58.4935315,2085.0673569609,VTA,TERRENO,-34.6044893,-58.4711155,0,300000,VILLA GRAL. MITRE,11,-58.4662272046921,2306.45984705774,355,Obelisco,8212.04299261217
818,VTA,TERRENO,-34.621614,-58.471095,337,550000,FLORES NORTE,7,VTA,TERRENO,-34.621614,-58.471095,337,550000,FLORES NORTE,7,-58.4661766,825.865851271191,VTA,TERRENO,-34.621614,-58.471095,337,550000,FLORES NORTE,7,-58.4696396292247,1017.52050427422,397,Obelisco,8445.42523772744
819,VTA,TERRENO,-34.5803957,-58.4710783,156,400000,VILLA ORTUZAR,15,VTA,TERRENO,-34.5803957,-58.4710783,156,400000,VILLA ORTUZAR,15,-58.4789912,1514.22800606736,VTA,TERRENO,-34.5803957,-58.4710783,156,400000,VILLA ORTUZAR,15,-58.4742408261771,305.21018857598,322,Obelisco,8607.54394022145
820,VTA,TERRENO,-34.5763737,-58.4710723,391,870000,VILLA ORTUZAR,15,VTA,TERRENO,-34.5763737,-58.4710723,391,870000,VILLA ORTUZAR,15,-58.4789912,1143.25705782649,VTA,TERRENO,-34.5763737,-58.4710723,391,870000,VILLA ORTUZAR,15,-58.4742408261771,614.00306292275,220,Obelisco,8751.69547549752
821,VTA,TERRENO,-34.5520815,-58.471027,366,1900000,NUNEZ,13,VTA,TERRENO,-34.5520815,-58.471027,366,1900000,NUNEZ,13,-58.4628516,860.156600107781,VTA,TERRENO,-34.5520815,-58.471027,366,1900000,NUNEZ,13,-58.4623784082243,886.602443475453,485,Obelisco,10007.8266948724
822,VTA,TERRENO,-34.636425,-58.4709809,266,550000,FLORES NORTE,7,VTA,TERRENO,-34.636425,-58.4709809,266,550000,FLORES NORTE,7,-58.4808913,1013.68360654685,VTA,TERRENO,-34.636425,-58.4709809,266,550000,FLORES NORTE,7,-58.4696396292247,646.122992016978,456,Obelisco,8964.56549983433
823,VTA,TERRENO,-34.6187344,-58.4709412,282,650000,VILLA GRAL. MITRE,11,VTA,TERRENO,-34.6187344,-58.4709412,282,650000,VILLA GRAL. MITRE,11,-58.4661766,1101.62730393582,VTA,TERRENO,-34.6187344,-58.4709412,282,650000,VILLA GRAL. MITRE,11,-58.4696396292247,1333.52697501192,416,Obelisco,8362.42197445825
824,VTA,TERRENO,-34.5599672,-58.4708638,185,360000,COGHLAN,12,VTA,TERRENO,-34.5599672,-58.4708638,185,360000,COGHLAN,12,-58.4753485,717.088750002973,VTA,TERRENO,-34.5599672,-58.4708638,185,360000,COGHLAN,12,-58.4623784082243,914.715750092494,363,Obelisco,9520.89205346054
825,VTA,TERRENO,-34.587464,-58.4708585,1300,370000,PARQUE CHAS,15,VTA,TERRENO,-34.587464,-58.4708585,1300,370000,PARQUE CHAS,15,-58.4878391,2104.39103273897,VTA,TERRENO,-34.587464,-58.4708585,1300,370000,PARQUE CHAS,15,-58.4662272046921,565.906103531148,172,Obelisco,8385.12301569678
826,VTA,TERRENO,-34.607715,-58.470714,387,475000,VILLA GRAL. MITRE,11,VTA,TERRENO,-34.607715,-58.470714,387,475000,VILLA GRAL. MITRE,11,-58.4935315,2208.13186971048,VTA,TERRENO,-34.607715,-58.470714,387,475000,VILLA GRAL. MITRE,11,-58.4635405106286,2460.48043492472,302,Obelisco,8186.6083695356
827,VTA,TERRENO,-34.6066062,-58.4706704,0,230000,VILLA GRAL. MITRE,11,VTA,TERRENO,-34.6066062,-58.4706704,0,230000,VILLA GRAL. MITRE,11,-58.4935315,2175.92080514076,VTA,TERRENO,-34.6066062,-58.4706704,0,230000,VILLA GRAL. MITRE,11,-58.4662272046921,2530.32586776743,286,Obelisco,8176.93319630369
828,VTA,TERRENO,-34.6070837,-58.4706474,288,275000,VILLA GRAL. MITRE,11,VTA,TERRENO,-34.6070837,-58.4706474,288,275000,VILLA GRAL. MITRE,11,-58.4935315,2192.67042284574,VTA,TERRENO,-34.6070837,-58.4706474,288,275000,VILLA GRAL. MITRE,11,-58.4567097975238,2520.5595786774,285,Obelisco,8177.04632015831
829,VTA,TERRENO,-34.6074429,-58.470621,138,195000,VILLA GRAL. MITRE,11,VTA,TERRENO,-34.6074429,-58.470621,138,195000,VILLA GRAL. MITRE,11,-58.4935315,2206.82093885968,VTA,TERRENO,-34.6074429,-58.470621,138,195000,VILLA GRAL. MITRE,11,-58.4567097975238,2485.05313102074,283,Obelisco,8176.52447839286
830,VTA,TERRENO,-34.5583252,-58.4705498,294,890000,COGHLAN,12,VTA,TERRENO,-34.5583252,-58.4705498,294,890000,COGHLAN,12,-58.4753485,886.496086966408,VTA,TERRENO,-34.5583252,-58.4705498,294,890000,COGHLAN,12,-58.4623784082243,806.868948643144,340,Obelisco,9590.56996152473
831,VTA,TERRENO,-34.563294,-58.4705083,218,840000,COGHLAN,12,VTA,TERRENO,-34.563294,-58.4705083,218,840000,COGHLAN,12,-58.4753485,494.870349765285,VTA,TERRENO,-34.563294,-58.4705083,218,840000,COGHLAN,12,-58.4623784082243,1130.17377640642,395,Obelisco,9309.40664881417
832,VTA,TERRENO,-34.5631479,-58.4704994,264,800000,COGHLAN,12,VTA,TERRENO,-34.5631479,-58.4704994,264,800000,COGHLAN,12,-58.4753485,502.94913448855,VTA,TERRENO,-34.5631479,-58.4704994,264,800000,COGHLAN,12,-58.4623784082243,1117.50711435549,412,Obelisco,9316.5165984905
833,VTA,TERRENO,-34.620176,-58.470454,979,1450000,FLORES NORTE,7,VTA,TERRENO,-34.620176,-58.470454,979,1450000,FLORES NORTE,7,-58.4661766,937.368173521836,VTA,TERRENO,-34.620176,-58.470454,979,1450000,FLORES NORTE,7,-58.4696396292247,1170.63721890245,418,Obelisco,8352.05406838387
834,VTA,TERRENO,-34.632122,-58.470406,261,550000,FLORES NORTE,7,VTA,TERRENO,-34.632122,-58.470406,261,550000,FLORES NORTE,7,-58.4661766,612.336060165687,VTA,TERRENO,-34.632122,-58.470406,261,550000,FLORES NORTE,7,-58.4696396292247,171.974580578961,902,Obelisco,8733.24558946411
835,VTA,TERRENO,-34.5814809,-58.4703388,368,450000,VILLA ORTUZAR,15,VTA,TERRENO,-34.5814809,-58.4703388,368,450000,VILLA ORTUZAR,15,-58.4789912,1652.4054871615,VTA,TERRENO,-34.5814809,-58.4703388,368,450000,VILLA ORTUZAR,15,-58.4742408261771,358.937758911958,340,Obelisco,8507.12379443938
836,VTA,TERRENO,-34.5879679,-58.4702939,134,370000,PATERNAL,15,VTA,TERRENO,-34.5879679,-58.4702939,134,370000,PATERNAL,15,-58.4878391,2180.32598992728,VTA,TERRENO,-34.5879679,-58.4702939,134,370000,PATERNAL,15,-58.4662272046921,569.055970163795,171,Obelisco,8322.6077787122
837,VTA,TERRENO,-34.561658,-58.47024,138,700000,COGHLAN,12,VTA,TERRENO,-34.561658,-58.47024,138,700000,COGHLAN,12,-58.4753485,616.041588366795,VTA,TERRENO,-34.561658,-58.47024,138,700000,COGHLAN,12,-58.4623784082243,982.84433538868,429,Obelisco,9376.89247808831
